sys_time,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,movement_events
1763026869.070365,-17,-292,-102,-5695,-1957,-5634,0
1763026869.070365,-8,-62,-15,-5621,-1953,-5741,0
1763026869.070365,25,111,89,-5528,-2009,-5760,0
1763026869.070365,72,206,190,-5468,-2116,-5686,0
1763026869.112956,67,182,259,-5393,-2227,-5599,0
1763026869.112956,50,55,246,-5377,-2290,-5559,0
1763026869.112956,40,-99,183,-5424,-2314,-5537,0
1763026869.112956,10,-188,117,-5487,-2271,-5475,0
1763026869.112956,-22,-202,67,-5528,-2200,-5485,0
1763026869.158361,-35,-160,51,-5556,-2151,-5519,0
1763026869.158361,-26,-85,70,-5542,-2125,-5529,0
1763026869.158361,-10,11,105,-5501,-2136,-5550,0
1763026869.158361,19,80,145,-5470,-2179,-5563,0
1763026869.158361,53,82,177,-5450,-2219,-5541,0
1763026869.247374,67,37,188,-5443,-2258,-5488,0
1763026869.247374,63,-37,159,-5464,-2300,-5450,0
1763026869.247374,43,-103,92,-5506,-2326,-5421,0
1763026869.247374,19,-116,11,-5537,-2349,-5369,0
1763026869.247374,-8,-77,-62,-5544,-2340,-5350,0
1763026869.249992,-44,-36,-117,-5539,-2330,-5410,0
1763026869.249992,-48,3,-154,-5534,-2311,-5467,0
1763026869.249992,-35,52,-158,-5537,-2277,-5506,0
1763026869.249992,-12,87,-121,-5521,-2245,-5547,0
1763026869.249992,22,68,-67,-5512,-2225,-5561,0
1763026869.293162,49,0,-20,-5510,-2235,-5542,0
1763026869.293162,58,-75,0,-5528,-2239,-5534,0
1763026869.293162,68,-106,-11,-5521,-2217,-5479,0
1763026869.293162,69,-81,-25,-5533,-2178,-5464,0
1763026869.293162,62,-67,-24,-5523,-2113,-5493,0
1763026869.383258,69,-81,-2,-5504,-2033,-5529,0
1763026869.383258,90,-90,18,-5485,-1984,-5535,0
1763026869.383258,116,-73,34,-5472,-1983,-5534,0
1763026869.383258,135,-70,42,-5496,-2026,-5508,0
1763026869.383258,145,-121,26,-5552,-2120,-5493,0
1763026869.385359,123,-179,-8,-5649,-2242,-5481,0
1763026869.385359,98,-213,-50,-5747,-2352,-5489,0
1763026869.385359,75,-172,-71,-5789,-2403,-5457,0
1763026869.385359,67,-65,-60,-5714,-2384,-5427,0
1763026869.385359,61,24,-26,-5610,-2318,-5475,0
1763026869.428324,68,59,7,-5493,-2242,-5517,0
1763026869.428324,81,56,27,-5398,-2214,-5518,0
1763026869.428324,88,27,50,-5322,-2214,-5530,0
1763026869.428324,100,-56,61,-5286,-2235,-5565,0
1763026869.428324,100,-166,45,-5289,-2260,-5567,0
1763026869.473433,88,-276,8,-5329,-2276,-5538,0
1763026869.473433,61,-346,-44,-5399,-2317,-5517,0
1763026869.473433,35,-359,-99,-5494,-2358,-5519,0
1763026869.473433,9,-308,-143,-5574,-2381,-5521,0
1763026869.473433,-21,-222,-164,-5635,-2367,-5541,0
1763026869.518431,-43,-133,-155,-5673,-2318,-5553,0
1763026869.518431,-66,-45,-120,-5683,-2253,-5548,0
1763026869.518431,-84,19,-74,-5650,-2177,-5518,0
1763026869.518431,-96,62,-38,-5649,-2143,-5500,0
1763026869.518431,-104,100,-16,-5669,-2151,-5471,0
1763026869.520872,-105,136,-14,-5663,-2157,-5427,0
1763026869.520872,-106,155,-13,-5613,-2142,-5418,0
1763026869.520872,-99,152,-29,-5549,-2116,-5421,0
1763026869.520872,-78,140,-56,-5490,-2103,-5442,0
1763026869.520872,-45,145,-92,-5428,-2113,-5454,0
